id,phase,category,gold_domain,type,question,source_file,gold_chunk_id,gold_answer,difficulty,notes
H01,phase1,harmonics,technical,A,전압 종합고조파왜형률(THD)의 국내외 허용 기준은 얼마인가요?,knowledge_harmonics.md,knowledge_harmonics.md > 전압 THD 규정 > Q. 전압 종합고조파왜형률(THD)의 국내외 허용 기준은 얼마인가요?,"IEEE Std. 519 기준으로 69kV 이하는 종합 THD 5.0%까지, 69.001~161kV는 2.5%까지, 161.001kV 이상은 1.5%까지 허용된다. 한국전력공사 전기공급약관 기준으로는 66kV 이하 3%, 154kV 이상 1.5%(등가방해전류 3.8A)로 규정된다.",하,원문 그대로 (Easy). 표 청크 검색 재확인용
H02,phase1,harmonics,technical,B,154kV급 수용가에 적용되는 전압왜형률 규정이 어떻게 되나요?,knowledge_harmonics.md,knowledge_harmonics.md > 전압 THD 규정 > Q. 전압 종합고조파왜형률(THD)의 국내외 허용 기준은 얼마인가요?,"한국전력공사 전기공급약관 기준으로 154kV 이상 수용가는 전압왜형율 1.5%, 등가방해전류 3.8A로 규정된다.",중,"H01과 동일 정답청크, 표현만 변형 (Paraphrase)"
H03,phase1,harmonics,technical,B,종합고조파왜형률은 어떤 공식으로 구하나요?,knowledge_harmonics.md,knowledge_harmonics.md > 종합고조파왜형률(THD) 정의 > Q. 전압/전류 종합고조파왜형률(THD)은 어떻게 계산하나요?,V_THD = 고조파전압 실효치 합의 제곱근 / 기본파전압 x 100%. 전류도 동일한 방식으로 계산한다.,하,"Paraphrase, 정의식 청크"
H04,phase1,harmonics,technical,C,"저희 수용설비의 SCR이 30 정도인데 고조파 전류 허용기준이 어떻게 되고, 일본 가이드라인 기준으로는 kW당 유도전류가 얼마까지 허용되나요?",knowledge_harmonics.md,knowledge_harmonics.md > 고조파 전류 관리기준 (IEEE Std. 519) + knowledge_harmonics.md > 일본 고조파 억제대책 가이드라인,SCR 20~50 구간은 TDD 8.0% 이하이며 차수별로 세분화된 기준이 적용된다. 일본 가이드라인은 수전전압과 무관하게 5차 3.5mA/kW부터 23차초과 0.70mA/kW까지 차수별 상한치를 둔다.,상,두 청크(IEEE + 일본) 결합 질문 (Compound)
H05,phase1,harmonics,technical,E,IT Product 청각장해 판정 기준이 뭔가요?,knowledge_harmonics.md,knowledge_harmonics.md > 통신선 유도장해(IT Product) 기준 > Q. 전류 고조파가 인접 통신선(전화선)에 미치는 청각장해 정도를 판단하는 IT Product 기준은 무엇인가요?,"IT Product 값이 10,000 이하면 영향 없음, 10,000~25,000이면 청각장해 가능성 있음, 25,000 이상이면 청각장해가 발생하는 것으로 판단한다.",중,영문 약어(IT Product) 포함 (Acronym/Adversarial)
G01,phase1,grounding,technical,A,"TN-S 계통, TT 계통, IT 계통이 각각 무엇이며, Neutral(중성선)과 Ground(접지선)는 어떻게 다른가요?",knowledge_grounding.md,"knowledge_grounding.md > 접지 기초 개념 > Q. TN-S 계통, TT 계통, IT 계통이 각각 무엇이며, Neutral(중성선)과 Ground(접지선)는 어떻게 다른가요?",IEC 60364 기준 TT/TN-S/TN-C/TN-C-S/IT 다섯 계통으로 분류. TN-S는 중성선과 접지선을 끝까지 분리 배선하는 방식.,하,원문 그대로. 이전에 10등→1등 개선 확인했던 청크(회귀테스트 겸함)
G02,phase1,grounding,technical,B,"저압 접지방식 종류에는 뭐가 있고, 중성선이랑 접지선은 뭐가 다른가요?",knowledge_grounding.md,"knowledge_grounding.md > 접지 기초 개념 > Q. TN-S 계통, TT 계통, IT 계통이 각각 무엇이며, Neutral(중성선)과 Ground(접지선)는 어떻게 다른가요?",IEC 60364 기준 TT/TN-S/TN-C/TN-C-S/IT 다섯 계통으로 분류. TN-S는 중성선과 접지선을 끝까지 분리 배선하는 방식.,중,"G01과 동일 정답청크, 약어를 완전히 풀어쓴 재질문"
G03,phase1,grounding,technical,B,인버터 달린 큰 모터는 접지선을 왜 더 두껍게 해야 하나요?,knowledge_grounding.md,"knowledge_grounding.md > 접지선 굵기·시공기준 > Q. 대형 모터(150Hp, 인버터 포함)의 접지선 굵기를 단순히 부하용량 기준(38㎟ 등)으로만 정하면 충분한가요?","인버터 IGBT의 고주파 스위칭이 고조파·노이즈를 많이 발생시켜, 용량이 적어도 접지선을 굵게 써 임피던스를 낮춰야 한다.",중,이전 크로스체크(전동기 파일과 혼동 여부) 재확인용
G04,phase1,grounding,technical,C,"440V 델타결선 변압기는 왜 1상 접지를 못 하고, GPT 3차권선은 접지 안 해도 계전기가 동작하나요?",knowledge_grounding.md,"knowledge_grounding.md > GPT·GOVR·CLR > Q. 440V △-△ 변압기(비접지 계통)에서 GPT·GOVR·CLR로 3상 접지회로를 구성할 때, 각 권선을 접지하는 목적은 무엇인가요? + knowledge_grounding.md > GPT·GOVR·CLR > Q. 대지전압 300V를 초과하는 △결선 변압기(예: 440V)는 왜 접지를 할 수 없나요?",대지전압 300V 초과시 1상 접지 불가(전기설비기술기준 제26조)라 비접지 방식 필요. GPT는 1차권선 중성점 접지만 동작에 필수이며 3차권선(개방델타) 미접지는 지락계전기 동작에 문제없다.,상,두 청크 결합 질문 (Compound)
G05,phase1,grounding,technical,E,IEEE Std 142 기준으로 공통접지 접지저항은 몇 옴이어야 하나요?,knowledge_grounding.md,"knowledge_grounding.md > 특수 접지 > Q. 통신·전기·피뢰 접지를 하나로 묶는 \공통접지\"" 방식의 접지저항 권장 기준은 어떻게 되나요?""","IEEE Std 142, ANSI/NFPA 70·780 기준으로 대용량 교환장비 1~2옴, 일반 통신장비 2~5옴, 산업용 변전설비 1~5옴 등 장비별로 다르게 권장된다.",중,영문표준 약어+숫자(IEEE Std 142) 포함
G06,phase1,grounding,technical,E,Mesh 접지에 IEEE-80 기준을 적용해서 피뢰접지랑 연결해도 되나요?,knowledge_grounding.md,knowledge_grounding.md > 특수 접지 > Q. 대형 플랜트에서 Mesh(망상) 접지에 피뢰접지를 연결해도 되나요?,"가능하며 권장된다. IEEE Std-80 기준으로 설계된 Mesh 접지망은 이상적인 접지전극이며, 피뢰설비 접지전극과 Bonding하는 것이 권장된다.",중,"영문 약어(Mesh, IEEE-80) 포함"
M01,phase1,mccb_elb,technical,A,습한 환경의 콘센트 회로에서 한 달에 한 번 꼴로 새벽에만 누전차단기(ELB)가 트립되는 경우 원인과 조치 방법은 무엇인가요?,knowledge_mccb_elb.md,knowledge_mccb_elb.md > 누전차단기(ELB) 오동작·트립 원인 > Q. 습한 환경의 콘센트 회로에서 한 달에 한 번 꼴로 새벽에만 누전차단기(ELB)가 트립되는 경우 원인과 조치 방법은 무엇인가요?,새벽 습도 상승으로 절연저항이 일시적으로 저하되어 누전 발생 가능성이 높다. 차단기 용량 증설은 해결책이 아니며 분기 선로 절연을 개별 확인해야 한다.,하,원문 그대로 (Easy)
